time,reno_goodput1
0.0,0.05600000000000001
1.0,0.024000000000000004
2.0,0.047999999999999994
3.0,0.048799999999999996
4.0,0.03200000000000001
5.0,0.0472
6.0,0.04479999999999999
7.0,0.040799999999999996
8.0,0.030400000000000003
9.0,0.0336
10.0,0.04
11.0,0.047999999999999994
12.0,0.019200000000000002
13.0,0.035199999999999995
14.0,0.045599999999999995
15.0,0.0464
16.0,0.011200000000000002
17.0,0.0376
18.0,0.04479999999999999
19.0,0.045599999999999995
20.0,0.04479999999999999
21.0,0.0424
22.0,0.048799999999999996
23.0,0.03440000000000001
24.0,0.044
25.0,0.0472
26.0,0.048799999999999996
27.0,0.029600000000000005
28.0,0.045599999999999995
29.0,0.0464
30.0,0.0472
31.0,0.0256
32.0,0.048799999999999996
33.0,0.043199999999999995
34.0,0.0472
35.0,0.0184
36.0,0.0392
37.0,0.043199999999999995
38.0,0.0464
39.0,0.012800000000000002
40.0,0.0416
41.0,0.04159999999999999
42.0,0.048
43.0,0.011200000000000002
44.0,0.0432
45.0,0.0464
46.0,0.0368
47.0,0.0392
48.0,0.0528
49.0,0.0464
50.0,0.03200000000000001
51.0,0.04079999999999999
52.0,0.0512
53.0,0.044800000000000006
54.0,0.027999999999999997
55.0,0.044
56.0,0.048
57.0,0.04
58.0,0.0256
59.0,0.0392
60.0,0.043199999999999995
61.0,0.04
62.0,0.0184
63.0,0.040799999999999996
64.0,0.04239999999999999
65.0,0.043199999999999995
66.0,0.016000000000000004
67.0,0.0424
68.0,0.0472
69.0,0.0368
70.0,0.0392
71.0,0.052000000000000005
72.0,0.048
73.0,0.03280000000000001
74.0,0.04079999999999999
75.0,0.0504
76.0,0.04560000000000001
77.0,0.027999999999999997
78.0,0.045599999999999995
79.0,0.0472
80.0,0.0408
81.0,0.0256
82.0,0.045599999999999995
83.0,0.04239999999999999
84.0,0.0408
85.0,0.0184
86.0,0.048
87.0,0.039999999999999994
88.0,0.045599999999999995
89.0,0.016000000000000004
90.0,0.048
91.0,0.04479999999999999
92.0,0.0392
93.0,0.0344
94.0,0.057600000000000005
95.0,0.04479999999999999
96.0,0.0344
97.0,0.032
98.0,0.055200000000000006
99.0,0.044800000000000006
100.0,0.0288
101.0,0.0392
102.0,0.0536
103.0,0.03520000000000001
104.0,0.031200000000000006
105.0,0.044
106.0,0.044
107.0,0.036
108.0,0.023199999999999995
109.0,0.045599999999999995
110.0,0.04239999999999999
111.0,0.040799999999999996
112.0,0.020800000000000003
113.0,0.045599999999999995
114.0,0.0472
115.0,0.0392
116.0,0.0344
117.0,0.055200000000000006
118.0,0.0472
119.0,0.0336
120.0,0.0328
121.0,0.0536
122.0,0.0464
123.0,0.0288
124.0,0.041600000000000005
125.0,0.052000000000000005
126.0,0.0368
127.0,0.031200000000000006
128.0,0.0512
129.0,0.04239999999999999
130.0,0.037599999999999995
131.0,0.023199999999999995
132.0,0.0528
133.0,0.04159999999999999
134.0,0.0424
135.0,0.0128
136.0,0.0512
137.0,0.04079999999999999
138.0,0.045599999999999995
139.0,0.0344
140.0,0.05600000000000001
141.0,0.04079999999999999
142.0,0.039999999999999994
143.0,0.0328
144.0,0.0536
145.0,0.04159999999999999
146.0,0.0336
147.0,0.0352
148.0,0.0536
149.0,0.032
150.0,0.036
151.0,0.0496
152.0,0.044
153.0,0.032799999999999996
154.0,0.028000000000000004
155.0,0.0504
156.0,0.043199999999999995
157.0,0.036
158.0,0.019200000000000002
159.0,0.048799999999999996
160.0,0.043199999999999995
161.0,0.045599999999999995
162.0,0.036
163.0,0.0536
164.0,0.043199999999999995
165.0,0.0392
166.0,0.035199999999999995
167.0,0.052000000000000005
168.0,0.043199999999999995
169.0,0.032799999999999996
170.0,0.03760000000000001
171.0,0.052000000000000005
172.0,0.033600000000000005
173.0,0.036
174.0,0.0568
175.0,0.04239999999999999
176.0,0.0344
177.0,0.028000000000000004
178.0,0.0568
179.0,0.04159999999999999
180.0,0.0376
181.0,0.019200000000000002
182.0,0.0536
183.0,0.0368
184.0,0.052000000000000005
185.0,0.0264
186.0,0.0536
187.0,0.0368
188.0,0.045599999999999995
189.0,0.035199999999999995
190.0,0.052000000000000005
191.0,0.038400000000000004
192.0,0.037599999999999995
193.0,0.036000000000000004
194.0,0.054400000000000004
195.0,0.033600000000000005
196.0,0.036
197.0,0.0448
198.0,0.048799999999999996
199.0,0.0344
200.0,0.028000000000000004
201.0,0.0496
202.0,0.048799999999999996
203.0,0.036
204.0,0.020800000000000003
205.0,0.0464
206.0,0.044
207.0,0.0504
208.0,0.028000000000000004
209.0,0.0464
210.0,0.044
211.0,0.04479999999999999
212.0,0.0376
213.0,0.045599999999999995
214.0,0.04479999999999999
215.0,0.0368
216.0,0.0368
217.0,0.0472
218.0,0.04
219.0,0.03520000000000001
220.0,0.0504
221.0,0.04239999999999999
222.0,0.040799999999999996
223.0,0.028000000000000004
224.0,0.054400000000000004
225.0,0.044
226.0,0.040799999999999996
227.0,0.020800000000000003
228.0,0.0512
229.0,0.0392
230.0,0.055200000000000006
231.0,0.004
232.0,0.0464
233.0,0.0392
234.0,0.0496
235.0,0.0264
236.0,0.0464
237.0,0.04
238.0,0.04159999999999999
239.0,0.035199999999999995
240.0,0.0496
241.0,0.04
242.0,0.03520000000000001
243.0,0.044
244.0,0.0496
245.0,0.04
246.0,0.028800000000000003
247.0,0.0472
248.0,0.0512
249.0,0.038400000000000004
250.0,0.023199999999999995
251.0,0.045599999999999995
252.0,0.04479999999999999
253.0,0.048
254.0,0.011200000000000002
255.0,0.04079999999999999
256.0,0.04479999999999999
257.0,0.0472
258.0,0.0336
259.0,0.04159999999999999
260.0,0.04479999999999999
261.0,0.04079999999999999
262.0,0.040799999999999996
263.0,0.04479999999999999
264.0,0.04479999999999999
265.0,0.03440000000000001
266.0,0.0496
267.0,0.04479999999999999
268.0,0.04479999999999999
269.0,0.028800000000000003
270.0,0.052000000000000005
271.0,0.045599999999999995
272.0,0.044
273.0,0.023199999999999995
274.0,0.052000000000000005
275.0,0.0392
276.0,0.0536
277.0,0.011200000000000002
278.0,0.04239999999999999
279.0,0.0392
280.0,0.0528
281.0,0.0048000000000000004
282.0,0.044
283.0,0.0392
284.0,0.0464
285.0,0.0392
286.0,0.0472
287.0,0.044
288.0,0.03520000000000001
289.0,0.043199999999999995
290.0,0.052000000000000005
291.0,0.044
292.0,0.029600000000000005
293.0,0.045599999999999995
294.0,0.052000000000000005
295.0,0.04159999999999999
296.0,0.0256
297.0,0.0472
298.0,0.044
299.0,0.0464
300.0,0.0184
301.0,0.0376
302.0,0.044
303.0,0.045599999999999995
304.0,0.012000000000000002
305.0,0.0392
306.0,0.044
307.0,0.045599999999999995
308.0,0.04479999999999999
309.0,0.0424
310.0,0.048799999999999996
311.0,0.03440000000000001
312.0,0.044
313.0,0.0472
314.0,0.048799999999999996
315.0,0.029600000000000005
316.0,0.045599999999999995
317.0,0.0464
318.0,0.0472
319.0,0.0256
320.0,0.048799999999999996
321.0,0.043199999999999995
322.0,0.0472
323.0,0.0184
324.0,0.0392
325.0,0.043199999999999995
326.0,0.0464
327.0,0.012000000000000002
328.0,0.0416
329.0,0.04159999999999999
330.0,0.048
331.0,0.011200000000000002
332.0,0.0432
333.0,0.0464
334.0,0.0368
335.0,0.0392
336.0,0.0528
337.0,0.0464
338.0,0.03200000000000001
339.0,0.04079999999999999
340.0,0.0512
341.0,0.044800000000000006
342.0,0.027999999999999997
343.0,0.044
344.0,0.048
345.0,0.04
346.0,0.0256
347.0,0.0392
348.0,0.043199999999999995
349.0,0.04
350.0,0.0184
351.0,0.040799999999999996
352.0,0.04239999999999999
353.0,0.043199999999999995
354.0,0.016000000000000004
355.0,0.0424
356.0,0.0472
357.0,0.0368
358.0,0.0392
359.0,0.052000000000000005
360.0,0.0472
361.0,0.03200000000000001
362.0,0.04079999999999999
363.0,0.0504
364.0,0.04560000000000001
365.0,0.027999999999999997
366.0,0.045599999999999995
367.0,0.0472
368.0,0.0408
369.0,0.0256
370.0,0.045599999999999995
371.0,0.04239999999999999
372.0,0.0408
373.0,0.0184
374.0,0.048
375.0,0.039999999999999994
376.0,0.045599999999999995
377.0,0.016000000000000004
378.0,0.048
379.0,0.04479999999999999
380.0,0.0392
381.0,0.0344
382.0,0.057600000000000005
383.0,0.04479999999999999
384.0,0.0344
385.0,0.032
386.0,0.055200000000000006
387.0,0.044800000000000006
388.0,0.0288
389.0,0.0392
390.0,0.0536
391.0,0.03520000000000001
392.0,0.031200000000000006
393.0,0.044
394.0,0.044
395.0,0.036
396.0,0.023199999999999995
397.0,0.045599999999999995
398.0,0.04239999999999999
399.0,0.040799999999999996
400.0,0.020800000000000003
401.0,0.045599999999999995
402.0,0.0472
403.0,0.0392
404.0,0.0344
405.0,0.055200000000000006
406.0,0.0472
407.0,0.0336
408.0,0.0328
409.0,0.0536
410.0,0.0464
411.0,0.0288
412.0,0.041600000000000005
413.0,0.052000000000000005
414.0,0.0368
415.0,0.031200000000000006
416.0,0.0512
417.0,0.04239999999999999
418.0,0.037599999999999995
419.0,0.023199999999999995
420.0,0.0528
421.0,0.04079999999999999
422.0,0.0424
423.0,0.0128
424.0,0.0512
425.0,0.04079999999999999
426.0,0.045599999999999995
427.0,0.0344
428.0,0.05600000000000001
429.0,0.04079999999999999
430.0,0.039999999999999994
431.0,0.0328
432.0,0.0536
433.0,0.04159999999999999
434.0,0.0336
435.0,0.0352
436.0,0.0536
437.0,0.032
438.0,0.036
439.0,0.0496
440.0,0.044
441.0,0.032799999999999996
442.0,0.028000000000000004
443.0,0.0504
444.0,0.043199999999999995
445.0,0.036
446.0,0.019200000000000002
447.0,0.048799999999999996
448.0,0.043199999999999995
449.0,0.045599999999999995
450.0,0.036
451.0,0.0536
452.0,0.043199999999999995
453.0,0.0392
454.0,0.035199999999999995
455.0,0.052000000000000005
456.0,0.043199999999999995
457.0,0.032799999999999996
458.0,0.03760000000000001
459.0,0.052000000000000005
460.0,0.033600000000000005
461.0,0.036
462.0,0.0568
463.0,0.04239999999999999
464.0,0.0344
465.0,0.028000000000000004
466.0,0.0568
467.0,0.04159999999999999
468.0,0.0376
469.0,0.019200000000000002
470.0,0.0536
471.0,0.0368
472.0,0.052000000000000005
473.0,0.0264
474.0,0.0536
475.0,0.0368
476.0,0.045599999999999995
477.0,0.035199999999999995
478.0,0.052000000000000005
479.0,0.038400000000000004
480.0,0.037599999999999995
