time,tahoe_packet_loss2
0.0,0.0
1.0,1.0
2.0,0.1
3.0,0.0
4.0,0.0
5.0,0.6
6.0,0.1
7.0,0.0
8.0,0.0
9.0,0.9
10.0,0.1
11.0,0.0
12.0,0.6
13.0,0.0
14.0,0.0
15.0,0.1
16.0,0.9
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.7
22.0,0.0
23.0,0.3
24.0,0.0
25.0,0.0
26.0,0.1
27.0,0.0
28.0,0.6
29.0,0.0
30.0,0.4
31.0,0.0
32.0,0.6
33.0,0.0
34.0,0.0
35.0,0.1
36.0,0.9
37.0,0.0
38.0,0.1
39.0,0.0
40.0,0.0
41.0,0.6
42.0,0.1
43.0,0.3
44.0,0.6
45.0,0.0
46.0,0.0
47.0,0.1
48.0,0.6
49.0,0.0
50.0,0.3
51.0,0.0
52.0,0.0
53.0,0.7
54.0,0.0
55.0,0.0
56.0,0.0
57.0,0.3
58.0,0.1
59.0,0.0
60.0,0.6
61.0,0.0
62.0,0.1
63.0,0.0
64.0,0.9
65.0,0.0
66.0,0.0
67.0,0.1
68.0,0.6
69.0,0.0
70.0,0.1
71.0,0.3
72.0,0.0
73.0,0.6
74.0,0.1
75.0,0.0
76.0,0.6
77.0,0.1
78.0,0.4
79.0,0.1
80.0,0.6
81.0,0.0
82.0,0.0
83.0,0.0
84.0,0.0
85.0,0.8
86.0,0.2
87.0,0.0
88.0,0.0
89.0,0.0
90.0,0.1
91.0,0.0
92.0,0.7
93.0,0.2
94.0,0.1
95.0,0.0
96.0,0.6
97.0,0.0
98.0,0.0
99.0,0.2
100.0,0.8
101.0,0.0
102.0,0.1
103.0,0.0
104.0,0.0
105.0,0.7
106.0,0.1
107.0,0.2
108.0,0.6
109.0,0.0
110.0,0.0
111.0,0.1
112.0,0.7
113.0,0.2
114.0,0.0
115.0,0.0
116.0,0.0
117.0,0.7
118.0,0.1
119.0,0.0
120.0,0.2
121.0,0.0
122.0,0.1
123.0,0.0
124.0,0.6
125.0,0.0
126.0,0.1
127.0,0.3
128.0,0.6
129.0,0.0
130.0,0.0
131.0,0.1
132.0,0.6
133.0,0.0
134.0,0.4
135.0,0.0
136.0,0.0
137.0,0.6
138.0,0.1
139.0,0.0
140.0,0.7
141.0,0.2
142.0,0.0
143.0,0.1
144.0,0.6
145.0,0.0
146.0,0.0
147.0,0.0
148.0,0.2
149.0,0.8
150.0,0.0
151.0,0.0
152.0,0.0
153.0,0.0
154.0,0.1
155.0,0.2
156.0,0.6
157.0,0.1
158.0,0.1
159.0,0.0
160.0,0.6
161.0,0.2
162.0,0.0
163.0,0.1
164.0,0.7
165.0,0.0
166.0,0.1
167.0,0.0
168.0,0.2
169.0,0.8
170.0,0.1
171.0,0.0
172.0,0.7
173.0,0.0
174.0,0.0
175.0,0.1
176.0,0.8
177.0,0.0
178.0,0.0
179.0,0.0
180.0,0.1
181.0,0.7
182.0,0.0
183.0,0.2
184.0,0.0
185.0,0.0
186.0,0.1
187.0,0.0
188.0,0.7
189.0,0.0
190.0,0.3
191.0,0.0
192.0,0.6
193.0,0.0
194.0,0.0
195.0,0.2
196.0,0.6
197.0,0.2
198.0,0.1
199.0,0.0
200.0,0.0
201.0,0.6
202.0,0.1
203.0,0.1
204.0,0.8
205.0,0.0
206.0,0.0
207.0,0.1
208.0,0.6
209.0,0.0
210.0,0.0
211.0,0.3
212.0,0.0
213.0,0.7
214.0,0.0
215.0,0.0
216.0,0.0
217.0,0.2
218.0,0.1
219.0,0.1
220.0,0.6
221.0,0.0
222.0,0.1
223.0,0.0
224.0,0.8
225.0,0.0
226.0,0.0
227.0,0.2
228.0,0.6
229.0,0.0
230.0,0.1
231.0,0.2
232.0,0.0
233.0,0.6
234.0,0.2
235.0,0.0
236.0,0.6
237.0,0.0
238.0,0.2
239.0,0.1
240.0,0.6
241.0,0.0
242.0,0.1
243.0,0.0
244.0,0.0
245.0,0.9
246.0,0.0
247.0,0.0
248.0,0.0
249.0,0.0
250.0,0.2
251.0,0.0
252.0,0.8
253.0,0.0
254.0,0.1
255.0,0.0
256.0,0.6
257.0,0.0
258.0,0.1
259.0,0.5
260.0,0.6
261.0,0.0
262.0,0.1
263.0,0.0
264.0,0.0
265.0,0.7
266.0,0.1
267.0,0.2
268.0,0.6
269.0,0.0
270.0,0.0
271.0,0.1
272.0,0.6
273.0,0.1
274.0,0.2
275.0,0.0
276.0,0.0
277.0,0.7
278.0,0.0
279.0,0.0
280.0,0.0
281.0,0.3
282.0,0.1
283.0,0.0
284.0,0.6
285.0,0.0
286.0,0.1
287.0,0.0
288.0,0.8
289.0,0.1
290.0,0.0
291.0,0.1
292.0,0.6
293.0,0.0
294.0,0.3
295.0,0.0
296.0,0.1
297.0,0.6
298.0,0.1
299.0,0.0
300.0,0.6
301.0,0.2
302.0,0.0
303.0,0.1
304.0,0.7
305.0,0.0
306.0,0.0
307.0,0.0
308.0,0.2
309.0,0.7
310.0,0.0
311.0,0.0
312.0,0.1
313.0,0.0
314.0,0.1
315.0,0.2
316.0,0.6
317.0,0.0
318.0,0.1
319.0,0.0
320.0,0.7
321.0,0.0
322.0,0.2
323.0,0.1
324.0,0.6
325.0,0.0
326.0,0.1
327.0,0.1
328.0,0.0
329.0,0.8
330.0,0.1
331.0,0.0
332.0,0.6
333.0,0.0
334.0,0.0
335.0,0.2
336.0,0.8
337.0,0.0
338.0,0.0
339.0,0.0
340.0,0.0
341.0,0.7
342.0,0.2
343.0,0.1
344.0,0.0
345.0,0.0
346.0,0.1
347.0,0.0
348.0,0.6
349.0,0.2
350.0,0.3
351.0,0.1
352.0,0.6
353.0,0.0
354.0,0.0
355.0,0.1
356.0,0.6
357.0,0.2
358.0,0.2
359.0,0.0
360.0,0.0
361.0,0.6
362.0,0.1
363.0,0.0
364.0,0.8
365.0,0.0
366.0,0.1
367.0,0.1
368.0,0.6
369.0,0.0
370.0,0.0
371.0,0.2
372.0,0.0
373.0,0.7
374.0,0.1
375.0,0.0
376.0,0.0
377.0,0.0
378.0,0.3
379.0,0.0
380.0,0.6
381.0,0.0
382.0,0.2
383.0,0.0
384.0,0.6
385.0,0.2
386.0,0.0
387.0,0.1
388.0,0.6
389.0,0.0
390.0,0.2
391.0,0.0
392.0,0.2
393.0,0.6
394.0,0.1
395.0,0.0
396.0,0.6
397.0,0.1
398.0,0.2
399.0,0.1
400.0,0.6
401.0,0.0
402.0,0.0
403.0,0.0
404.0,0.0
405.0,1.0
406.0,0.0
407.0,0.0
408.0,0.0
409.0,0.0
410.0,0.1
411.0,0.0
412.0,0.8
413.0,0.1
414.0,0.1
415.0,0.0
416.0,0.6
417.0,0.0
418.0,0.0
419.0,0.3
420.0,0.6
421.0,0.1
422.0,0.1
423.0,0.0
424.0,0.0
425.0,0.6
426.0,0.3
427.0,0.0
428.0,0.7
429.0,0.0
430.0,0.0
431.0,0.1
432.0,0.6
433.0,0.2
434.0,0.0
435.0,0.0
436.0,0.1
437.0,0.7
438.0,0.0
439.0,0.0
440.0,0.4
441.0,0.0
442.0,0.1
443.0,0.0
444.0,0.7
445.0,0.0
446.0,0.1
447.0,0.0
448.0,0.8
449.0,0.0
450.0,0.0
451.0,0.1
452.0,0.7
453.0,0.0
454.0,0.1
455.0,0.2
456.0,0.0
457.0,0.6
458.0,0.1
459.0,0.1
460.0,0.6
461.0,0.0
462.0,0.2
463.0,0.1
464.0,0.6
465.0,0.0
466.0,0.0
467.0,0.1
468.0,0.0
469.0,0.9
470.0,0.0
471.0,0.0
472.0,0.0
473.0,0.0
474.0,0.1
475.0,0.1
476.0,0.8
477.0,0.0
478.0,0.1
479.0,0.0
480.0,0.6
481.0,0.0
482.0,0.2
483.0,0.2
484.0,0.6
485.0,0.0
486.0,0.1
487.0,0.0
488.0,0.0
489.0,0.8
490.0,0.2
491.0,0.0
492.0,0.6
493.0,0.0
494.0,0.0
495.0,0.1
496.0,0.8
497.0,0.0
498.0,0.1
499.0,0.0
500.0,0.0
501.0,0.7
502.0,0.0
503.0,0.2
504.0,0.0
505.0,0.0
506.0,0.2
507.0,0.0
508.0,0.6
509.0,0.0
510.0,0.3
511.0,0.0
512.0,0.6
513.0,0.0
514.0,0.1
515.0,0.1
516.0,0.6
517.0,0.2
518.0,0.1
519.0,0.0
520.0,0.0
521.0,0.7
522.0,0.1
523.0,0.0
524.0,0.8
525.0,0.0
526.0,0.0
527.0,0.1
528.0,0.6
529.0,0.1
530.0,0.2
531.0,0.2
532.0,0.0
533.0,0.7
534.0,0.0
535.0,0.0
536.0,0.0
537.0,0.1
538.0,0.3
539.0,0.0
540.0,0.6
541.0,0.0
542.0,0.1
543.0,0.0
544.0,0.6
545.0,0.1
546.0,0.2
547.0,0.1
548.0,0.6
549.0,0.0
550.0,0.1
551.0,0.0
552.0,0.3
553.0,0.6
554.0,0.1
555.0,0.0
556.0,0.6
557.0,0.0
558.0,0.0
559.0,0.3
560.0,0.7
561.0,0.0
562.0,0.0
563.0,0.0
564.0,0.0
565.0,0.7
566.0,0.2
567.0,0.0
568.0,0.1
569.0,0.0
570.0,0.1
571.0,0.0
572.0,0.6
573.0,0.2
574.0,0.1
575.0,0.0
576.0,0.7
577.0,0.0
578.0,0.0
579.0,0.1
580.0,0.8
581.0,0.0
582.0,0.1
583.0,0.0
584.0,0.1
585.0,0.6
586.0,0.3
587.0,0.0
588.0,0.6
589.0,0.0
590.0,0.0
591.0,0.2
592.0,0.6
593.0,0.2
594.0,0.0
595.0,0.0
596.0,0.0
597.0,0.7
598.0,0.0
599.0,0.1
600.0,0.0
601.0,0.2
602.0,0.1
603.0,0.0
604.0,0.6
605.0,0.0
606.0,0.1
607.0,0.3
608.0,0.6
609.0,0.0
610.0,0.0
611.0,0.1
612.0,0.6
613.0,0.0
614.0,0.3
615.0,0.1
616.0,0.0
617.0,0.6
618.0,0.1
619.0,0.0
620.0,0.6
621.0,0.4
622.0,0.1
623.0,0.1
624.0,0.6
625.0,0.0
626.0,0.0
627.0,0.0
628.0,0.0
629.0,0.9
630.0,0.1
631.0,0.0
632.0,0.0
633.0,0.0
634.0,0.1
635.0,0.0
636.0,0.8
637.0,0.0
638.0,0.2
639.0,0.0
640.0,0.6
641.0,0.0
642.0,0.0
643.0,0.3
644.0,0.6
645.0,0.0
646.0,0.2
647.0,0.0
648.0,0.0
649.0,0.6
650.0,0.3
651.0,0.0
652.0,0.6
653.0,0.1
654.0,0.0
655.0,0.1
656.0,0.6
657.0,0.2
658.0,0.0
659.0,0.0
660.0,0.0
661.0,0.8
662.0,0.0
663.0,0.2
664.0,0.0
665.0,0.0
666.0,0.1
667.0,0.0
668.0,0.6
669.0,0.1
670.0,0.3
671.0,0.0
672.0,0.6
673.0,0.0
674.0,0.0
675.0,0.1
676.0,0.6
677.0,0.3
678.0,0.1
679.0,0.0
680.0,0.0
681.0,0.6
682.0,0.1
683.0,0.0
684.0,0.9
685.0,0.0
686.0,0.0
687.0,0.1
688.0,0.6
689.0,0.0
690.0,0.0
691.0,0.2
692.0,0.1
693.0,0.7
694.0,0.0
695.0,0.0
696.0,0.0
697.0,0.0
698.0,0.3
699.0,0.0
700.0,0.7
701.0,0.0
702.0,0.1
703.0,0.0
704.0,0.6
705.0,0.2
706.0,0.0
707.0,0.1
708.0,0.7
709.0,0.0
710.0,0.1
711.0,0.2
712.0,0.2
713.0,0.6
714.0,0.1
715.0,0.1
716.0,0.6
717.0,0.0
718.0,0.0
719.0,0.1
720.0,0.8
721.0,0.0
722.0,0.0
723.0,0.1
724.0,0.0
725.0,0.7
726.0,0.0
727.0,0.2
728.0,0.0
729.0,0.0
730.0,0.1
731.0,0.1
732.0,0.6
733.0,0.2
734.0,0.1
735.0,0.0
736.0,0.6
737.0,0.0
738.0,0.0
739.0,0.2
740.0,0.8
741.0,0.0
742.0,0.1
743.0,0.0
744.0,0.0
745.0,0.6
746.0,0.1
747.0,0.3
748.0,0.6
749.0,0.0
750.0,0.0
751.0,0.1
752.0,0.6
753.0,0.0
754.0,0.3
755.0,0.0
756.0,0.0
757.0,0.7
758.0,0.0
759.0,0.0
760.0,0.0
761.0,0.2
762.0,0.2
763.0,0.0
764.0,0.6
765.0,0.0
766.0,0.1
767.0,0.2
768.0,0.6
769.0,0.0
770.0,0.1
771.0,0.1
772.0,0.6
773.0,0.0
774.0,0.1
775.0,0.2
776.0,0.0
777.0,0.6
778.0,0.2
779.0,0.0
780.0,0.6
781.0,0.0
782.0,0.2
783.0,0.1
784.0,0.6
785.0,0.1
786.0,0.0
787.0,0.0
788.0,0.2
789.0,0.7
790.0,0.0
791.0,0.0
792.0,0.0
793.0,0.1
794.0,0.1
795.0,0.2
796.0,0.6
797.0,0.0
798.0,0.1
799.0,0.0
800.0,0.6
801.0,0.1
802.0,0.4
803.0,0.1
804.0,0.6
805.0,0.0
806.0,0.1
807.0,0.0
808.0,0.0
809.0,0.7
810.0,0.3
811.0,0.0
812.0,0.6
813.0,0.0
814.0,0.0
815.0,0.1
816.0,0.7
817.0,0.2
818.0,0.0
819.0,0.0
820.0,0.0
821.0,0.7
822.0,0.0
823.0,0.0
824.0,0.3
825.0,0.0
826.0,0.1
827.0,0.0
828.0,0.6
829.0,0.0
830.0,0.1
831.0,0.2
832.0,0.7
833.0,0.0
834.0,0.0
835.0,0.1
836.0,0.6
837.0,0.0
838.0,0.3
839.0,0.0
840.0,0.1
841.0,0.6
842.0,0.1
843.0,0.0
844.0,0.8
845.0,0.0
846.0,0.0
847.0,0.2
848.0,0.6
849.0,0.0
850.0,0.0
851.0,0.2
852.0,0.0
853.0,0.7
854.0,0.0
855.0,0.1
856.0,0.0
857.0,0.0
858.0,0.3
859.0,0.0
860.0,0.6
861.0,0.0
862.0,0.1
863.0,0.1
864.0,0.6
865.0,0.2
866.0,0.0
867.0,0.1
868.0,0.6
869.0,0.0
870.0,0.1
871.0,0.1
872.0,0.2
873.0,0.6
874.0,0.1
875.0,0.0
876.0,0.6
