time,reno_cwnd1
0.0,1.0
1.0,3.2448299999999994
2.0,2.5
3.0,3.934081
4.0,5.477162000000002
5.0,5.983149
6.0,3.344431
7.0,4.050997000000001
8.0,5.383476
9.0,5.689755
10.0,2.9431129999999994
11.0,4.033749000000001
12.0,5.264232000000002
13.0,6.248329
14.0,3.7385829999999998
15.0,4.300228000000001
16.0,5.451053
17.0,6.370209999999999
18.0,3.3250000000000006
19.0,4.443756
20.0,5.597764
21.0,6.349024
22.0,3.3734289999999993
23.0,4.6024259999999995
24.0,5.493784999999999
25.0,6.209243
26.0,3.451404
27.0,4.781224
28.0,5.677468999999999
29.0,6.223042999999999
30.0,3.6636050000000004
31.0,4.877353
32.0,5.822407
33.0,3.501545
34.0,3.862171000000001
35.0,4.937855
36.0,6.146428
37.0,3.5014899999999995
38.0,4.078666
39.0,5.105478999999999
40.0,6.276475
41.0,3.2613329999999996
42.0,4.3831299999999995
43.0,5.437022000000001
44.0,6.292237000000001
45.0,3.32013
46.0,4.700037
47.0,5.5918790000000005
48.0,6.3076240000000015
49.0,3.5506440000000006
50.0,4.880679
51.0,5.777036
52.0,6.322655000000001
53.0,3.7634320000000003
54.0,4.977224999999999
55.0,5.890769999999999
56.0,3.601479
57.0,3.962128
58.0,5.037826999999999
59.0,6.125441999999999
60.0,3.601479
61.0,4.149255999999999
62.0,5.205474999999999
63.0,6.23022
64.0,3.2613320000000003
65.0,4.313331
66.0,5.437016
67.0,6.276466000000001
68.0,3.32013
69.0,4.633951000000001
70.0,5.5918790000000005
71.0,6.292236000000001
72.0,3.4506440000000005
73.0,4.8177389999999995
74.0,5.827036
75.0,6.372655000000001
76.0,3.813432
77.0,5.004778999999999
78.0,5.940769999999999
79.0,5.692361
80.0,4.012128
81.0,4.953125
82.0,6.1754419999999985
83.0,3.6514789999999997
84.0,4.199256
85.0,5.146041
86.0,6.28022
87.0,3.311332
88.0,4.363331
89.0,5.38111
90.0,6.326466000000002
91.0,3.311332
92.0,4.683951
93.0,5.641879000000001
94.0,6.3422360000000015
95.0,3.5465240000000002
96.0,4.867738999999999
97.0,5.809917
98.0,6.372655000000001
99.0,3.763004000000001
100.0,5.004778999999999
101.0,5.891772
102.0,5.692361
103.0,3.964716
104.0,4.953125
105.0,6.035389999999999
106.0,3.6514789999999997
107.0,4.154363999999999
