time,tahoe_cwnd1
0.0,1.0
1.0,3.2448299999999994
2.0,2.5
3.0,3.986239
4.0,5.477162000000002
5.0,4.800981
6.0,1.3
7.0,3.0833310000000003
8.0,3.898102
9.0,4.428599999999999
10.0,5.4234919999999995
11.0,5.424022
12.0,6.236001
13.0,2.005378
14.0,4.214311
15.0,4.761454
16.0,5.465720000000001
17.0,1.3631579999999999
18.0,2.897586
19.0,4.024073
20.0,4.2836
21.0,1.233333
22.0,2.216441
23.0,3.198646
24.0,4.475528000000001
25.0,5.0961479999999995
26.0,1.719763
27.0,3.1928650000000003
28.0,3.388646
29.0,3.942438
30.0,2.559763
31.0,3.226811
32.0,3.518578
33.0,4.190535
34.0,1.984749
35.0,3.198264
36.0,4.095612
37.0,4.770947
38.0,1.0
39.0,2.499998
40.0,3.4746270000000004
41.0,4.434050999999999
42.0,5.141167
43.0,5.124022
44.0,5.936001
45.0,2.005378
46.0,4.114311
47.0,4.881454
48.0,5.7816230000000015
49.0,2.129061
50.0,2.897586
51.0,4.024073
52.0,4.2836
53.0,1.233333
54.0,2.116441
55.0,3.298646
56.0,4.625528000000001
57.0,5.246148
58.0,1.869763
59.0,3.3428650000000006
60.0,3.538646
61.0,4.092438
62.0,2.7097629999999997
63.0,3.576811
64.0,3.718578
65.0,4.390535
66.0,2.184749
67.0,3.398264
68.0,4.295612
69.0,4.970947
70.0,1.2
71.0,2.699998
72.0,3.674627
73.0,4.6340509999999995
74.0,5.341167
75.0,5.324022
76.0,6.136001
77.0,2.205378
78.0,3.914311
79.0,4.511454
80.0,5.682612000000001
81.0,2.457985
82.0,3.181032
83.0,4.507519
84.0,4.6636
85.0,1.682299
86.0,1.916441
87.0,2.8986460000000003
88.0,4.325528
89.0,4.986148
90.0,1.9097630000000003
91.0,3.462865
92.0,3.6586459999999996
93.0,4.212438000000001
94.0,3.1297629999999996
95.0,3.7968109999999995
96.0,3.9985780000000006
97.0,4.540535
98.0,2.434749
99.0,3.4982640000000003
100.0,4.395612
101.0,5.070946999999999
102.0,1.3
103.0,2.989998
104.0,3.9646269999999992
105.0,4.734050999999999
106.0,5.541167
107.0,5.524022
108.0,6.336001
109.0,2.405378
110.0,4.104311
111.0,4.511454
112.0,5.315720000000001
113.0,1.663158
114.0,3.1975860000000003
115.0,4.514073
