time,tahoe_goodput1
0.0,0.05600000000000001
1.0,0.0112
2.0,0.048
3.0,0.0472
4.0,0.0304
5.0,0.0456
6.0,0.04240000000000001
7.0,0.027200000000000002
8.0,0.048
9.0,0.028800000000000003
10.0,0.048
11.0,0.0056
12.0,0.0448
13.0,0.035199999999999995
14.0,0.0504
15.0,0.0224
16.0,0.0496
17.0,0.028800000000000003
18.0,0.0344
19.0,0.0344
20.0,0.04
21.0,0.024
22.0,0.0336
23.0,0.0424
24.0,0.008799999999999999
25.0,0.0368
26.0,0.0224
27.0,0.021599999999999998
28.0,0.028000000000000004
29.0,0.031999999999999994
30.0,0.023200000000000002
31.0,0.030400000000000003
32.0,0.023200000000000002
33.0,0.038400000000000004
34.0,0.0336
35.0,0.028000000000000004
36.0,0.0312
37.0,0.0456
38.0,0.0392
39.0,0.0248
40.0,0.0448
41.0,0.0264
42.0,0.0504
43.0,0.0024000000000000002
44.0,0.0448
45.0,0.0344
46.0,0.0536
47.0,0.024800000000000003
48.0,0.052000000000000005
49.0,0.028800000000000003
50.0,0.0344
51.0,0.0344
52.0,0.04
53.0,0.023200000000000002
54.0,0.036
55.0,0.0448
56.0,0.008799999999999999
57.0,0.0368
58.0,0.0224
59.0,0.021599999999999998
60.0,0.028000000000000004
61.0,0.031999999999999994
62.0,0.024800000000000003
63.0,0.030400000000000003
64.0,0.023200000000000002
65.0,0.038400000000000004
66.0,0.0336
67.0,0.028000000000000004
68.0,0.0312
69.0,0.0456
70.0,0.0392
71.0,0.0248
72.0,0.0448
73.0,0.0264
74.0,0.0504
75.0,0.0024000000000000002
76.0,0.0448
77.0,0.032799999999999996
78.0,0.0496
79.0,0.03280000000000001
80.0,0.055200000000000006
81.0,0.0312
82.0,0.038400000000000004
83.0,0.036
84.0,0.041600000000000005
85.0,0.0216
86.0,0.0336
87.0,0.044
88.0,0.010400000000000001
89.0,0.0408
90.0,0.024800000000000003
91.0,0.021599999999999998
92.0,0.028000000000000004
93.0,0.031999999999999994
94.0,0.023200000000000002
95.0,0.031200000000000006
96.0,0.0256
97.0,0.04
98.0,0.0336
99.0,0.028000000000000004
100.0,0.0312
101.0,0.046400000000000004
102.0,0.04
103.0,0.0256
104.0,0.0448
105.0,0.027200000000000002
106.0,0.0504
107.0,0.0024000000000000002
108.0,0.0456
109.0,0.0336
110.0,0.0504
111.0,0.024
112.0,0.0496
113.0,0.028800000000000003
114.0,0.0368
115.0,0.0368
116.0,0.041600000000000005
117.0,0.0224
118.0,0.0344
119.0,0.0456
120.0,0.012000000000000002
121.0,0.0392
122.0,0.0248
123.0,0.022399999999999996
124.0,0.028800000000000003
125.0,0.031999999999999994
126.0,0.023200000000000002
127.0,0.030400000000000003
128.0,0.0264
129.0,0.040799999999999996
130.0,0.0344
131.0,0.028800000000000003
132.0,0.032
133.0,0.0456
134.0,0.0392
135.0,0.0248
136.0,0.0488
137.0,0.0328
138.0,0.0528
139.0,0.0032
140.0,0.0456
141.0,0.0344
142.0,0.0528
143.0,0.0248
144.0,0.0536
145.0,0.032
146.0,0.0352
147.0,0.0344
148.0,0.04
149.0,0.0216
150.0,0.036
151.0,0.0456
152.0,0.009600000000000001
153.0,0.0392
154.0,0.023200000000000002
155.0,0.021599999999999998
156.0,0.028000000000000004
157.0,0.031999999999999994
158.0,0.027200000000000002
159.0,0.032
160.0,0.024
161.0,0.0392
162.0,0.0344
163.0,0.028000000000000004
164.0,0.0312
165.0,0.046400000000000004
166.0,0.0424
167.0,0.0264
168.0,0.0456
169.0,0.0344
170.0,0.056799999999999996
171.0,0.004
172.0,0.046400000000000004
173.0,0.036
174.0,0.052000000000000005
175.0,0.024
176.0,0.0512
177.0,0.029600000000000005
178.0,0.0344
179.0,0.036
180.0,0.041600000000000005
181.0,0.0256
182.0,0.0368
183.0,0.0432
184.0,0.009600000000000001
185.0,0.0376
186.0,0.0224
187.0,0.0232
188.0,0.029599999999999998
189.0,0.035199999999999995
190.0,0.0256
191.0,0.031200000000000006
192.0,0.024
193.0,0.0392
194.0,0.0336
195.0,0.028000000000000004
196.0,0.032
197.0,0.0488
198.0,0.040799999999999996
199.0,0.0256
200.0,0.0456
201.0,0.028000000000000004
202.0,0.0504
203.0,0.0024000000000000002
204.0,0.046400000000000004
205.0,0.035199999999999995
206.0,0.0496
207.0,0.024
208.0,0.0504
209.0,0.028800000000000003
210.0,0.0344
211.0,0.0344
212.0,0.04240000000000001
213.0,0.0248
214.0,0.035199999999999995
215.0,0.0432
216.0,0.009600000000000001
217.0,0.0368
218.0,0.0224
219.0,0.021599999999999998
220.0,0.0312
221.0,0.0344
222.0,0.024
223.0,0.031200000000000006
224.0,0.024
225.0,0.038400000000000004
226.0,0.035199999999999995
227.0,0.0312
228.0,0.0368
229.0,0.0488
230.0,0.04
231.0,0.0256
232.0,0.0448
233.0,0.0264
234.0,0.052000000000000005
235.0,0.0048000000000000004
236.0,0.049600000000000005
237.0,0.0344
238.0,0.0504
239.0,0.023200000000000002
240.0,0.0496
241.0,0.028800000000000003
242.0,0.0344
243.0,0.038400000000000004
244.0,0.0432
245.0,0.0216
246.0,0.0344
247.0,0.0432
248.0,0.008799999999999999
249.0,0.0368
250.0,0.0224
251.0,0.024
252.0,0.0312
253.0,0.032799999999999996
254.0,0.024
255.0,0.031200000000000006
256.0,0.023200000000000002
257.0,0.038400000000000004
258.0,0.0336
259.0,0.0336
260.0,0.040799999999999996
261.0,0.0512
262.0,0.041600000000000005
263.0,0.028000000000000004
264.0,0.046400000000000004
265.0,0.028000000000000004
266.0,0.0512
267.0,0.0056
268.0,0.046400000000000004
269.0,0.032799999999999996
270.0,0.052000000000000005
271.0,0.0256
272.0,0.0496
273.0,0.028800000000000003
274.0,0.0368
275.0,0.0368
276.0,0.0408
277.0,0.024
278.0,0.036
279.0,0.0424
280.0,0.008799999999999999
281.0,0.0368
282.0,0.0248
283.0,0.0248
284.0,0.028800000000000003
285.0,0.032799999999999996
286.0,0.024
287.0,0.030400000000000003
288.0,0.023200000000000002
289.0,0.038400000000000004
290.0,0.0376
291.0,0.0312
292.0,0.033600000000000005
293.0,0.046400000000000004
294.0,0.04
295.0,0.0248
296.0,0.0448
297.0,0.027200000000000002
298.0,0.053599999999999995
299.0,0.004
300.0,0.0456
301.0,0.0336
302.0,0.048
303.0,0.0224
304.0,0.0496
305.0,0.0312
306.0,0.0368
307.0,0.035199999999999995
308.0,0.0408
309.0,0.0224
310.0,0.0336
311.0,0.0424
312.0,0.008799999999999999
313.0,0.0392
314.0,0.0256
315.0,0.022399999999999996
316.0,0.028800000000000003
317.0,0.0344
