time,tahoe_goodput2
0.0,0.037599999999999995
1.0,0.03839999999999999
2.0,0.0536
3.0,0.048799999999999996
4.0,0.0176
5.0,0.054400000000000004
6.0,0.052000000000000005
7.0,0.076
8.0,0.015200000000000002
9.0,0.0656
10.0,0.050400000000000014
11.0,0.0504
12.0,0.0528
13.0,0.0648
14.0,0.0456
15.0,0.05199999999999999
16.0,0.05200000000000001
17.0,0.06720000000000001
18.0,0.05840000000000001
19.0,0.0632
20.0,0.06
21.0,0.07519999999999999
22.0,0.048
23.0,0.0568
24.0,0.06639999999999999
25.0,0.0608
26.0,0.076
27.0,0.0368
28.0,0.0744
29.0,0.036
30.0,0.0784
31.0,0.04960000000000001
32.0,0.0752
33.0,0.0632
34.0,0.0648
35.0,0.05920000000000001
36.0,0.06639999999999999
37.0,0.0528
38.0,0.06000000000000001
39.0,0.076
40.0,0.0392
41.0,0.0664
42.0,0.038400000000000004
43.0,0.0512
44.0,0.0512
45.0,0.0648
46.0,0.0432
47.0,0.0608
48.0,0.050400000000000014
49.0,0.06080000000000001
50.0,0.05920000000000001
51.0,0.06000000000000001
52.0,0.06
53.0,0.07599999999999998
54.0,0.0632
55.0,0.054400000000000004
56.0,0.06160000000000001
57.0,0.0624
58.0,0.072
59.0,0.038400000000000004
60.0,0.0728
61.0,0.0648
62.0,0.07519999999999999
63.0,0.038400000000000004
64.0,0.0736
65.0,0.06240000000000001
66.0,0.0632
67.0,0.06639999999999999
68.0,0.0648
69.0,0.056799999999999996
70.0,0.036
71.0,0.0776
72.0,0.035199999999999995
73.0,0.0664
74.0,0.0528
75.0,0.0512
76.0,0.05199999999999999
77.0,0.048
78.0,0.047200000000000006
79.0,0.05519999999999999
80.0,0.0416
81.0,0.06080000000000001
82.0,0.0568
83.0,0.057600000000000005
84.0,0.052000000000000005
85.0,0.0624
86.0,0.0688
87.0,0.0504
88.0,0.0696
89.0,0.05600000000000001
90.0,0.0728
91.0,0.030400000000000003
92.0,0.06240000000000001
93.0,0.06160000000000001
94.0,0.07759999999999999
95.0,0.050400000000000014
96.0,0.0736
97.0,0.06080000000000001
98.0,0.05840000000000001
99.0,0.0496
100.0,0.06639999999999999
101.0,0.0528
102.0,0.058399999999999994
103.0,0.0744
104.0,0.0344
105.0,0.0648
106.0,0.03200000000000001
107.0,0.0504
108.0,0.0512
109.0,0.0648
110.0,0.046400000000000004
111.0,0.0624
112.0,0.05120000000000001
113.0,0.068
114.0,0.055200000000000006
115.0,0.05920000000000001
116.0,0.058399999999999994
117.0,0.07279999999999999
118.0,0.0664
119.0,0.0448
120.0,0.06639999999999999
121.0,0.055200000000000006
122.0,0.0712
123.0,0.0368
124.0,0.0728
125.0,0.06400000000000002
126.0,0.056799999999999996
127.0,0.0528
128.0,0.0696
129.0,0.06080000000000001
130.0,0.0616
131.0,0.06400000000000002
132.0,0.0648
133.0,0.0368
134.0,0.059199999999999996
135.0,0.0736
136.0,0.0352
137.0,0.057600000000000005
138.0,0.04800000000000001
139.0,0.048
140.0,0.0392
141.0,0.0632
142.0,0.044
143.0,0.0608
144.0,0.0448
145.0,0.064
146.0,0.06000000000000001
147.0,0.048
148.0,0.055999999999999994
149.0,0.07359999999999998
150.0,0.06720000000000001
151.0,0.0504
152.0,0.0688
153.0,0.0568
154.0,0.05840000000000001
155.0,0.036
156.0,0.0632
157.0,0.06400000000000002
158.0,0.0736
159.0,0.0504
160.0,0.07039999999999999
161.0,0.06240000000000001
162.0,0.0616
163.0,0.06480000000000001
164.0,0.06559999999999999
165.0,0.05519999999999999
166.0,0.05600000000000001
167.0,0.06640000000000001
168.0,0.020800000000000003
169.0,0.05920000000000001
170.0,0.04560000000000001
171.0,0.04240000000000001
172.0,0.047200000000000006
173.0,0.06000000000000001
174.0,0.0448
175.0,0.058399999999999994
176.0,0.050400000000000014
177.0,0.0664
178.0,0.059199999999999996
179.0,0.055200000000000006
180.0,0.0576
181.0,0.07279999999999999
182.0,0.06240000000000001
183.0,0.0536
184.0,0.06639999999999999
185.0,0.06080000000000001
186.0,0.0752
187.0,0.028000000000000004
188.0,0.072
189.0,0.05600000000000001
190.0,0.0744
191.0,0.04880000000000001
192.0,0.0728
193.0,0.06160000000000001
194.0,0.0648
195.0,0.06400000000000002
196.0,0.0568
197.0,0.0512
198.0,0.0568
199.0,0.0728
200.0,0.0376
201.0,0.06240000000000001
202.0,0.0504
203.0,0.0392
204.0,0.053599999999999995
205.0,0.0608
206.0,0.046400000000000004
207.0,0.0616
208.0,0.0536
209.0,0.06720000000000001
210.0,0.0376
211.0,0.06080000000000001
212.0,0.058399999999999994
213.0,0.07199999999999998
214.0,0.0664
215.0,0.0528
216.0,0.0672
217.0,0.06000000000000001
218.0,0.06559999999999999
219.0,0.0376
220.0,0.07039999999999999
221.0,0.06080000000000001
222.0,0.0752
223.0,0.0432
224.0,0.0736
225.0,0.06240000000000001
226.0,0.052000000000000005
227.0,0.06240000000000001
228.0,0.05840000000000001
229.0,0.052000000000000005
230.0,0.0536
231.0,0.0744
232.0,0.0368
233.0,0.0648
234.0,0.050400000000000014
235.0,0.048
236.0,0.048799999999999996
237.0,0.06000000000000001
238.0,0.0456
239.0,0.0632
240.0,0.052800000000000014
241.0,0.0632
242.0,0.06
243.0,0.057600000000000005
244.0,0.05199999999999999
245.0,0.07279999999999999
246.0,0.0656
247.0,0.0536
248.0,0.0712
249.0,0.05279999999999999
250.0,0.07680000000000001
251.0,0.022400000000000003
252.0,0.0712
253.0,0.05840000000000001
254.0,0.07759999999999999
255.0,0.050400000000000014
256.0,0.076
257.0,0.0528
258.0,0.048
259.0,0.05840000000000001
260.0,0.0568
261.0,0.04239999999999999
262.0,0.0536
263.0,0.072
264.0,0.0344
265.0,0.064
266.0,0.04
267.0,0.047200000000000006
268.0,0.0504
269.0,0.06160000000000001
270.0,0.046400000000000004
271.0,0.0608
272.0,0.049600000000000005
273.0,0.05600000000000001
274.0,0.058399999999999994
275.0,0.0568
276.0,0.056799999999999996
277.0,0.07359999999999998
278.0,0.0656
279.0,0.05600000000000001
280.0,0.0496
281.0,0.06160000000000001
282.0,0.07039999999999999
283.0,0.0344
284.0,0.07039999999999999
285.0,0.0632
286.0,0.07599999999999998
287.0,0.03440000000000001
288.0,0.0648
289.0,0.0632
290.0,0.05920000000000001
291.0,0.06240000000000001
292.0,0.060799999999999986
293.0,0.0536
294.0,0.057600000000000005
295.0,0.0744
296.0,0.0376
297.0,0.06720000000000001
298.0,0.04800000000000001
299.0,0.0504
300.0,0.0432
301.0,0.0656
302.0,0.046400000000000004
303.0,0.0608
304.0,0.0536
305.0,0.0656
306.0,0.058399999999999994
307.0,0.045599999999999995
308.0,0.059999999999999984
309.0,0.07359999999999998
310.0,0.0688
311.0,0.0488
312.0,0.07039999999999999
313.0,0.05840000000000001
314.0,0.054400000000000004
315.0,0.03440000000000001
316.0,0.0712
317.0,0.06080000000000001
318.0,0.07199999999999998
319.0,0.041600000000000005
320.0,0.0752
321.0,0.0464
322.0,0.0624
323.0,0.06080000000000001
324.0,0.0648
325.0,0.0496
326.0,0.057600000000000005
327.0,0.076
328.0,0.0256
329.0,0.0632
330.0,0.047200000000000006
331.0,0.049600000000000005
332.0,0.0512
333.0,0.06720000000000001
334.0,0.0432
335.0,0.0504
336.0,0.050400000000000014
337.0,0.0656
338.0,0.05439999999999999
339.0,0.06080000000000001
340.0,0.059199999999999996
341.0,0.07599999999999998
342.0,0.06160000000000001
343.0,0.055200000000000006
344.0,0.06639999999999999
345.0,0.05840000000000001
346.0,0.072
347.0,0.0368
348.0,0.06560000000000002
349.0,0.0504
350.0,0.064
351.0,0.04560000000000001
352.0,0.064
353.0,0.055200000000000006
354.0,0.05600000000000001
355.0,0.0632
356.0,0.06239999999999999
357.0,0.05600000000000001
358.0,0.0568
359.0,0.0752
360.0,0.0344
361.0,0.06080000000000001
362.0,0.04880000000000001
363.0,0.0488
364.0,0.054400000000000004
365.0,0.0624
366.0,0.048
367.0,0.0632
368.0,0.049600000000000005
369.0,0.06240000000000001
370.0,0.05439999999999999
371.0,0.06080000000000001
372.0,0.06
373.0,0.07039999999999999
374.0,0.0688
375.0,0.0528
376.0,0.06720000000000001
377.0,0.0496
378.0,0.0744
379.0,0.0344
380.0,0.0744
381.0,0.055200000000000006
382.0,0.07519999999999999
383.0,0.04880000000000001
384.0,0.0608
385.0,0.06080000000000001
386.0,0.06
387.0,0.06560000000000002
388.0,0.0648
389.0,0.0464
390.0,0.05840000000000001
391.0,0.057600000000000005
392.0,0.0352
393.0,0.064
394.0,0.04880000000000001
395.0,0.0528
396.0,0.0504
397.0,0.0656
398.0,0.047200000000000006
399.0,0.0616
400.0,0.0488
401.0,0.0664
402.0,0.057600000000000005
403.0,0.0632
404.0,0.048799999999999996
405.0,0.07759999999999999
406.0,0.0632
407.0,0.052000000000000005
408.0,0.06240000000000001
409.0,0.057600000000000005
410.0,0.072
411.0,0.035199999999999995
412.0,0.06560000000000002
413.0,0.0616
414.0,0.07599999999999998
415.0,0.04640000000000001
416.0,0.0696
